ID;GPS_TIME;H:M:S;X(m);Y(m);Z(m);SIGX(m);SIGY(m);SIGZ(m);DE(m);SIGDE(m);DN(m);SIGDN(m);DU(m);SIGDU(m);2D_ERROR(m);3D_ERROR(m);Lat(deg);Lon(deg);h_geo(m);H_Orto(m);dtr(m);TZH(m);TZW(m);TZD(m);GOM;N_SAT;LOM;Qui_Tab;HDOP;VDOP;PDOP;GDOP
1;259200.00;00:00:00.00;4081094.4275;-4457448.2808;-2034742.0873;5.2583;4.7199;4.2830;-0.0962;2.5812;0.6807;2.9973;-1.6597;7.2543;0.6874;1.7964;-18.72409738;-47.52379592;910.809184;920.522937;-12.545266;2.079991;0.181005;2.260995;0.048182;7;0.722731;7.815178;3.955561;7.254286;8.262634;36.612879
2;259215.00;00:00:15.00;4081095.4402;-4457449.3507;-2034742.5001;3.7219;3.3400;3.0318;-0.0718;1.8257;0.7625;2.1207;-0.1321;5.1351;0.7659;0.7772;-18.72409664;-47.52379569;912.336738;922.050493;-11.170479;2.079991;0.180759;2.260749;0.045220;7;0.177916;7.815178;2.798290;5.135098;5.848047;20.599927
3;259230.00;00:00:30.00;4081095.4509;-4457448.9965;-2034742.5452;2.9970;2.6896;2.4156;0.1753;1.4854;0.6383;1.7013;-0.3582;4.1170;0.6619;0.7526;-18.72409777;-47.52379334;912.110697;921.824445;-11.298799;2.079991;0.180107;2.260097;0.095026;7;0.439081;7.815178;2.258498;4.117016;4.695810;14.074688
4;259245.00;00:00:45.00;4081096.3669;-4457449.8578;-2034743.2521;2.5287;2.2696;1.9971;0.2693;1.2776;0.3712;1.4254;1.0562;3.4452;0.4586;1.1514;-18.72410018;-47.52379245;913.525021;923.238758;-10.372395;2.079991;0.178942;2.258932;0.124717;7;0.457273;7.815178;1.914227;3.445220;3.941294;10.497896
5;259260.00;00:01:00.00;4081096.3368;-4457449.8806;-2034743.2805;2.1860;1.9616;1.6780;0.2317;1.1318;0.3433;1.2202;1.0620;2.9449;0.4142;1.1399;-18.72410043;-47.52379281;913.530907;923.244644;-10.186579;2.079991;0.179265;2.259255;0.123110;7;0.231760;7.815178;1.664303;2.944854;3.382612;8.181093
6;259275.00;00:01:15.00;4081096.0734;-4457449.7097;-2034743.0801;1.9212;1.7221;1.4244;0.1528;1.0211;0.4355;1.0593;0.7098;2.5536;0.4615;0.8467;-18.72409960;-47.52379356;913.178691;922.892433;-10.507452;2.079991;0.181204;2.261194;0.138195;7;0.442321;7.815178;1.471322;2.553567;2.947116;6.570412
7;259290.00;00:01:30.00;4081095.9184;-4457449.6004;-2034743.1959;1.7108;1.5303;1.2200;0.1124;0.9327;0.2664;0.9301;0.5715;2.2410;0.2891;0.6405;-18.72410112;-47.52379394;913.040395;922.754131;-10.554822;2.079991;0.180678;2.260669;0.138539;7;0.281548;7.815178;1.317160;2.240951;2.599379;5.408843
8;259305.00;00:01:45.00;4081095.9897;-4457449.6345;-2034743.3283;1.5406;1.3735;1.0541;0.1420;0.8595;0.1645;0.8246;0.6834;1.9880;0.2173;0.7171;-18.72410204;-47.52379366;913.152296;922.866028;-10.510675;2.079991;0.180919;2.260910;0.138484;7;0.276141;7.815178;1.191148;1.988023;2.317556;4.549760
9;259320.00;00:02:00.00;4081095.8125;-4457449.5767;-2034743.3622;1.4009;1.2434;0.9188;0.0502;0.7974;0.0803;0.7376;0.5405;1.7812;0.0947;0.5488;-18.72410281;-47.52379453;913.009400;922.723131;-10.571166;2.079991;0.180478;2.260469;0.141745;7;0.338933;7.815178;1.086239;1.781245;2.086324;3.900504
10;259335.00;00:02:15.00;4081095.6535;-4457449.5284;-2034743.3532;1.2847;1.1341;0.8076;-0.0344;0.7436;0.0429;0.6649;0.4023;1.6105;0.0550;0.4060;-18.72410314;-47.52379533;912.871172;922.584902;-10.675965;2.079991;0.178473;2.258464;0.146398;7;0.381196;7.815178;0.997504;1.610490;1.894384;3.399828
